ticker,asset_type
360ONE.NS,EQUITY
3MINDIA.NS,EQUITY
AADHARHFC.NS,EQUITY
AARTIIND.NS,EQUITY
AAVAS.NS,EQUITY
ABB.NS,EQUITY
ABBOTINDIA.NS,EQUITY
ABCAPITAL.NS,EQUITY
ABFRL.NS,EQUITY
ACC.NS,EQUITY
ACE.NS,EQUITY
ADANIENSOL.NS,EQUITY
ADANIENT.NS,EQUITY
ADANIGREEN.NS,EQUITY
ADANIPORTS.NS,EQUITY
ADANIPOWER.NS,EQUITY
AFFLE.NS,EQUITY
AIAENG.NS,EQUITY
AJANTPHARM.NS,EQUITY
ALKEM.NS,EQUITY
ALKYLAMINE.NS,EQUITY
AMBER.NS,EQUITY
AMBUJACEM.NS,EQUITY
ANANDRATHI.NS,EQUITY
ANANTRAJ.NS,EQUITY
ANGELONE.NS,EQUITY
APARINDS.NS,EQUITY
APLAPOLLO.NS,EQUITY
APOLLOHOSP.NS,EQUITY
APOLLOTYRE.NS,EQUITY
ASHOKLEY.NS,EQUITY
ASIANPAINT.NS,EQUITY
ASTERDM.NS,EQUITY
ASTRAL.NS,EQUITY
ASTRAZEN.NS,EQUITY
ATGL.NS,EQUITY
ATUL.NS,EQUITY
AUBANK.NS,EQUITY
AUROPHARMA.NS,EQUITY
AVANTIFEED.NS,EQUITY
AWL.NS,EQUITY
AXISBANK.NS,EQUITY
BAJAJ-AUTO.NS,EQUITY
BAJAJFINSV.NS,EQUITY
BAJAJHFL.NS,EQUITY
BAJAJHLDNG.NS,EQUITY
BAJFINANCE.NS,EQUITY
BALAMINES.NS,EQUITY
BALKRISIND.NS,EQUITY
BALRAMCHIN.NS,EQUITY
BANDHANBNK.NS,EQUITY
BANKBARODA.NS,EQUITY
BANKINDIA.NS,EQUITY
BASF.NS,EQUITY
BATAINDIA.NS,EQUITY
BAYERCROP.NS,EQUITY
BBTC.NS,EQUITY
BDL.NS,EQUITY
BEL.NS,EQUITY
BEML.NS,EQUITY
BERGEPAINT.NS,EQUITY
BHARATFORG.NS,EQUITY
BHARTIARTL.NS,EQUITY
BHEL.NS,EQUITY
BIKAJI.NS,EQUITY
BIOCON.NS,EQUITY
BIRLACORPN.NS,EQUITY
BLS.NS,EQUITY
BLUEDART.NS,EQUITY
BLUESTARCO.NS,EQUITY
BOSCHLTD.NS,EQUITY
BPCL.NS,EQUITY
BRIGADE.NS,EQUITY
BRITANNIA.NS,EQUITY
BSE.NS,EQUITY
BSOFT.NS,EQUITY
CAMPUS.NS,EQUITY
CAMS.NS,EQUITY
CANBK.NS,EQUITY
CANFINHOME.NS,EQUITY
CAPLIPOINT.NS,EQUITY
CARBORUNIV.NS,EQUITY
CASTROLIND.NS,EQUITY
CDSL.NS,EQUITY
CEATLTD.NS,EQUITY
CENTRALBK.NS,EQUITY
CENTURYPLY.NS,EQUITY
CERA.NS,EQUITY
CESC.NS,EQUITY
CGCL.NS,EQUITY
CGPOWER.NS,EQUITY
CHALET.NS,EQUITY
CHAMBLFERT.NS,EQUITY
CHEMPLASTS.NS,EQUITY
CHENNPETRO.NS,EQUITY
CHOLAFIN.NS,EQUITY
CHOLAHLDNG.NS,EQUITY
