ticker,instrument_name,sector,asset_type,currency
NIFTYBEES.NS,Nippon India ETF Nifty 50 BeES,,ETF,INR
JUNIORBEES.NS,Nippon India ETF Nifty Next 50 Junior BeES,,ETF,INR
MID150BEES.NS,Nippon India ETF Nifty Midcap 150,,ETF,INR
BANKBEES.NS,Nippon India ETF Nifty Bank BeES,Banking,ETF,INR
ITBEES.NS,Nippon India ETF Nifty IT,Information Technology,ETF,INR
PHARMABEES.NS,Nippon India Nifty Pharma ETF,Pharmaceuticals,ETF,INR
AUTOBEES.NS,Nippon India ETF Nifty Auto BeES,Automobile,ETF,INR
INFRABEES.NS,Nippon India ETF Nifty Infrastructure BeES,,ETF,INR
CONSUMBEES.NS,Nippon India ETF Nifty India Consumption,,ETF,INR
PSUBNKBEES.NS,Nippon India ETF Nifty PSU Bank BeES,PSU Banking,ETF,INR
CPSEETF.NS,CPSE ETF,,ETF,INR
MON100.NS,Motilal Oswal Nasdaq 100 ETF,,ETF,INR
MAFANG.NS,Mirae Asset NYSE FANG+ ETF,,ETF,INR
GOLDBEES.NS,Nippon India ETF Gold BeES,,COMMODITY_ETF,INR
SILVERBEES.NS,Nippon India Silver ETF,,COMMODITY_ETF,INR
SETFGOLD.NS,SBI Gold ETF,,COMMODITY_ETF,INR
GOLDSHARE.NS,UTI Gold Exchange Traded Fund,,COMMODITY_ETF,INR
LIQUIDBEES.NS,Nippon India ETF Nifty 1D Rate Liquid BeES,,BOND_ETF,INR
EBBETF0430.NS,Bharat Bond ETF - April 2030,,BOND_ETF,INR
EBBETF0431.NS,Bharat Bond ETF - April 2031,,BOND_ETF,INR
EBBETF0433.NS,Bharat Bond ETF - April 2033,,BOND_ETF,INR
LTGILTBEES.NS,Nippon India ETF Nifty 8-13 yr G-Sec Long Term Gilt,,BOND_ETF,INR
GILT5YBEES.NS,Nippon India ETF Nifty 5 yr Benchmark G-Sec,,BOND_ETF,INR
SDL26BEES.NS,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,,BOND_ETF,INR
