holding_id,portfolio_id,instrument_id,as_of_date,quantity,avg_cost,market_value,weight
1,1,35,2025-01-28,3513.0,148.47,521575.11,1.0
2,1,2,2025-01-30,253.0,710.53,179764.09,0.191564
3,1,27,2025-01-30,183.0,1295.42,237061.86,0.252623
4,1,35,2025-01-30,3513.0,148.47,521575.11,0.555813
5,1,2,2025-02-10,253.0,710.53,179764.09,0.191564
6,1,27,2025-02-10,183.0,1295.42,237061.86,0.252623
7,1,35,2025-02-10,3513.0,148.47,521575.11,0.555813
8,1,2,2025-02-11,253.0,710.53,179764.09,0.133031
9,1,17,2025-02-11,173.0,2386.68,412895.64,0.305555
10,1,27,2025-02-11,183.0,1295.42,237061.86,0.175433
11,1,35,2025-02-11,3513.0,148.47,521575.11,0.385981
12,1,2,2025-02-13,253.0,710.53,179764.09,0.117278
13,1,17,2025-02-13,173.0,2386.68,412895.64,0.269372
14,1,24,2025-02-13,433.0,419.19,181509.27,0.118416
15,1,27,2025-02-13,183.0,1295.42,237061.86,0.154659
16,1,35,2025-02-13,3513.0,148.47,521575.11,0.340275
17,1,2,2025-02-28,253.0,710.53,179764.09,0.116335
18,1,17,2025-02-28,173.0,2386.68,425323.96,0.275249
19,1,24,2025-02-28,433.0,419.19,181509.27,0.117464
20,1,27,2025-02-28,183.0,1295.42,237061.86,0.153415
21,1,35,2025-02-28,3513.0,148.47,521575.11,0.337538
22,1,2,2025-04-09,253.0,710.53,179764.09,0.116335
23,1,17,2025-04-09,173.0,2386.68,425323.96,0.275249
24,1,24,2025-04-09,433.0,419.19,181509.27,0.117464
25,1,27,2025-04-09,183.0,1295.42,237061.86,0.153415
26,1,35,2025-04-09,3513.0,148.47,521575.11,0.337538
27,1,2,2025-04-10,253.0,710.53,179764.09,0.117508
28,1,17,2025-04-10,173.0,2386.68,425323.96,0.278025
29,1,24,2025-04-10,433.0,419.19,181509.27,0.118649
30,1,27,2025-04-10,142.0,1295.42,221632.18,0.144876
31,1,35,2025-04-10,3513.0,148.47,521575.11,0.340942
32,1,2,2025-04-24,253.0,710.53,179764.09,0.131797
33,1,17,2025-04-24,173.0,2386.68,425323.96,0.311834
34,1,24,2025-04-24,433.0,419.19,181509.27,0.133077
35,1,27,2025-04-24,142.0,1295.42,221632.18,0.162494
36,1,35,2025-04-24,2537.0,148.47,355712.77,0.260798
37,1,2,2025-04-30,253.0,710.53,179764.09,0.091796
38,1,17,2025-04-30,173.0,2386.68,425323.96,0.217191
39,1,21,2025-04-30,2147.0,276.83,594354.01,0.303506
40,1,24,2025-04-30,433.0,419.19,181509.27,0.092687
41,1,27,2025-04-30,142.0,1295.42,221632.18,0.113176
42,1,35,2025-04-30,2537.0,148.47,355712.77,0.181644
43,1,2,2025-05-08,253.0,710.53,179764.09,0.077803
44,1,4,2025-05-08,126.0,2795.33,352211.58,0.152439
45,1,17,2025-05-08,173.0,2386.68,425323.96,0.184082
46,1,21,2025-05-08,2147.0,276.83,594354.01,0.25724
47,1,24,2025-05-08,433.0,419.19,181509.27,0.078558
48,1,27,2025-05-08,142.0,1295.42,221632.18,0.095924
49,1,35,2025-05-08,2537.0,148.47,355712.77,0.153954
50,1,2,2025-05-09,253.0,710.53,179764.09,0.079744
51,1,4,2025-05-09,126.0,2795.33,352211.58,0.156243
52,1,17,2025-05-09,173.0,2386.68,425323.96,0.188676
53,1,21,2025-05-09,2147.0,276.83,594354.01,0.263658
54,1,24,2025-05-09,433.0,419.19,181509.27,0.080518
55,1,27,2025-05-09,103.0,1295.42,165384.01,0.073365
56,1,35,2025-05-09,2537.0,148.47,355712.77,0.157796
57,1,2,2025-06-10,253.0,710.53,210377.09,0.069174
58,1,3,2025-06-10,84.0,2201.15,184896.6,0.060796
59,1,4,2025-06-10,126.0,2795.33,352211.58,0.115811
60,1,6,2025-06-10,217.0,2618.1,568127.7,0.186807
61,1,17,2025-06-10,173.0,2386.68,428687.08,0.140957
62,1,21,2025-06-10,2147.0,276.83,594354.01,0.19543
63,1,24,2025-06-10,433.0,419.19,181509.27,0.059682
64,1,27,2025-06-10,103.0,1295.42,165384.01,0.05438
65,1,35,2025-06-10,2537.0,148.47,355712.77,0.116962
66,1,2,2025-06-11,253.0,710.53,210377.09,0.069174
67,1,3,2025-06-11,84.0,2201.15,184896.6,0.060796
68,1,4,2025-06-11,126.0,2795.33,352211.58,0.115811
69,1,6,2025-06-11,217.0,2618.1,568127.7,0.186807
70,1,17,2025-06-11,173.0,2386.68,428687.08,0.140957
71,1,21,2025-06-11,2147.0,276.83,594354.01,0.19543
72,1,24,2025-06-11,433.0,419.19,181509.27,0.059682
73,1,27,2025-06-11,103.0,1295.42,165384.01,0.05438
74,1,35,2025-06-11,2537.0,148.47,355712.77,0.116962
75,1,2,2025-06-13,253.0,710.53,210377.09,0.069174
76,1,3,2025-06-13,84.0,2201.15,184896.6,0.060796
77,1,4,2025-06-13,126.0,2795.33,352211.58,0.115811
78,1,6,2025-06-13,217.0,2618.1,568127.7,0.186807
79,1,17,2025-06-13,173.0,2386.68,428687.08,0.140957
80,1,21,2025-06-13,2147.0,276.83,594354.01,0.19543
81,1,24,2025-06-13,433.0,419.19,181509.27,0.059682
82,1,27,2025-06-13,103.0,1295.42,165384.01,0.05438
83,1,35,2025-06-13,2537.0,148.47,355712.77,0.116962
84,1,1,2025-06-30,1126.0,307.5,346245.0,0.102212
