transaction_id,portfolio_id,instrument_id,txn_date,txn_type,quantity,price,fees,amount
1,1,439,2025-01-02,BUY,66011,1870.91,158103.09,123658743.10
2,1,519,2025-01-03,BUY,8521847,12.24,133532.29,104440939.57
3,1,522,2025-01-06,BUY,12881880,12.40,204490.01,159939802.01
4,1,66,2025-01-07,BUY,20130,1279.40,32970.18,25787292.18
5,1,492,2025-01-09,BUY,170495,445.00,97127.64,75967402.64
6,1,320,2025-01-10,BUY,31761,1143.91,46511.16,36378236.67
7,1,520,2025-01-13,BUY,3888311,25.31,125986.58,98539137.99
8,1,423,2025-01-14,BUY,146930,644.57,121241.62,94827911.72
9,1,449,2025-01-15,BUY,175786,343.72,77349.99,60498513.91
10,1,395,2025-01-17,BUY,22295,4634.44,132274.43,103457114.23
11,1,301,2025-01-20,BUY,19633,2128.35,53493.48,41839389.03
12,1,341,2025-01-21,BUY,15238,2010.33,39216.29,30672624.83
13,1,521,2025-01-22,BUY,3152999,26.63,107489.53,84071852.90
14,1,518,2025-01-24,BUY,9146503,11.53,135006.77,105594186.36
15,1,257,2025-01-28,BUY,39163,761.31,38168.81,29853352.34
16,1,487,2025-01-29,BUY,43579,1297.45,72383.41,56613956.96
17,1,160,2025-01-30,BUY,26534,1507.71,51214.35,40056791.49
18,1,516,2025-01-31,BUY,52695,1014.35,68427.14,53519600.39
19,1,241,2025-02-03,BUY,38170,2701.51,132007.89,103248644.59
20,2,204,2025-02-03,BUY,74589,540.31,131912.68,40433095.27
21,1,391,2025-02-04,BUY,126629,486.80,78914.15,61721911.35
22,2,522,2025-02-04,BUY,3599167,12.48,147023.02,45064627.18
23,1,341,2025-02-05,SELL,7455,2029.52,19369.22,15110702.38
24,2,519,2025-02-05,BUY,4570971,12.28,183728.10,56315251.98
25,3,111,2025-02-05,BUY,175019,536.91,195666.51,94165117.80
26,1,66,2025-02-06,SELL,6749,1292.01,11162.89,8708612.60
27,2,518,2025-02-06,BUY,5549072,11.45,207967.08,63744841.48
28,3,200,2025-02-06,BUY,305127,745.89,473898.38,228065076.41
29,4,399,2025-02-06,BUY,169395,481.38,231032.72,81774397.82
30,2,324,2025-02-07,BUY,69536,656.66,149457.95,45810967.71
31,3,138,2025-02-07,BUY,766973,486.13,776358.47,373624942.96
32,4,119,2025-02-07,BUY,41564,1854.08,218338.67,77281319.79
33,2,202,2025-02-10,BUY,5755,4183.25,78800.31,24153404.06
34,3,425,2025-02-10,BUY,188345,1093.97,429031.63,206472811.28
35,4,499,2025-02-10,BUY,266140,285.61,215361.67,76227607.07
36,5,178,2025-02-10,BUY,95461,2583.57,1173568.16,247803743.93
37,1,439,2025-02-11,BUY,7912,2074.83,21015.51,16437070.47
38,2,287,2025-02-11,BUY,52351,591.30,101321.50,31056467.80
39,3,180,2025-02-11,BUY,1512429,281.71,887170.43,426953544.02
40,4,508,2025-02-11,BUY,963188,76.40,208491.94,73796055.14
41,5,111,2025-02-11,BUY,169212,543.67,437752.50,92433240.54
42,1,66,2025-02-12,DIVIDEND,0,0.00,0.00,256065.56
43,2,62,2025-02-12,BUY,84301,561.31,154883.18,47473877.49
44,4,484,2025-02-12,BUY,3789,4738.60,50869.74,18005425.14
45,5,34,2025-02-12,BUY,147416,894.56,627503.57,132499960.53
46,2,28,2025-02-13,BUY,42562,1177.66,164063.02,50287627.94
47,3,251,2025-02-13,BUY,210413,1263.71,553668.47,266454680.70
48,4,517,2025-02-13,BUY,4014892,24.20,275279.64,97435666.04
49,5,341,2025-02-13,BUY,48725,2250.92,521884.04,110197961.04
50,1,395,2025-02-14,BUY,4175,4656.08,24885.60,19464019.60
51,2,508,2025-02-14,BUY,369371,77.83,94097.61,28842242.54
52,3,48,2025-02-14,BUY,354521,565.86,417715.66,201026968.72
53,4,514,2025-02-14,BUY,799695,69.44,157332.68,55688153.48
54,1,521,2025-02-17,BUY,669126,26.67,22845.57,17868435.99
55,2,383,2025-02-17,BUY,97402,1027.44,327561.69,100402272.57
56,3,186,2025-02-17,BUY,529954,331.87,366214.87,176242048.85
57,4,393,2025-02-17,BUY,29148,1099.32,90785.76,32133765.12
58,5,9,2025-02-17,BUY,24264,3065.77,353968.06,74741811.34
59,2,267,2025-02-18,BUY,23654,2005.07,155239.73,47583165.51
60,3,286,2025-02-18,BUY,327077,466.85,317948.78,153013846.23
61,4,287,2025-02-18,BUY,37942,605.99,65143.42,23057616.00
62,6,241,2025-02-18,BUY,1106,2871.68,6131.02,3182209.10
63,2,9,2025-02-19,BUY,18300,3096.52,185478.57,56851794.57
64,3,388,2025-02-19,BUY,173852,819.59,296692.21,142784052.89
65,4,50,2025-02-19,BUY,45421,1038.90,133695.04,47321571.94
66,5,141,2025-02-19,BUY,191011,979.58,890349.24,188000904.62
67,6,522,2025-02-19,BUY,396972,12.54,9609.46,4987638.34
68,2,509,2025-02-20,BUY,541130,92.83,164421.54,50397519.44
69,4,4,2025-02-20,BUY,55105,881.48,137622.15,48711577.55
70,5,385,2025-02-20,BUY,391265,338.32,629884.29,133002659.09
71,6,519,2025-02-20,BUY,744770,12.33,17726.66,9200740.76
72,2,438,2025-02-21,BUY,136566,551.60,246567.37,75576372.97
73,3,148,2025-02-21,BUY,924854,446.69,860219.35,413983252.61
74,4,505,2025-02-21,BUY,150792,288.34,123187.90,43602553.18
75,5,152,2025-02-21,BUY,97895,2339.56,1089825.09,230121051.29
76,6,446,2025-02-21,BUY,4955,738.06,7059.55,3664146.85
77,2,521,2025-02-24,BUY,2863155,26.55,248815.90,76265581.15
78,3,354,2025-02-24,BUY,142036,809.73,239479.57,115250289.85
79,4,421,2025-02-24,BUY,183175,242.51,125857.97,44547627.22
80,5,136,2025-02-24,BUY,18345,9153.75,799059.04,168724602.79
81,6,37,2025-02-24,BUY,5129,501.51,4965.40,2577210.19
82,7,520,2025-02-24,BUY,7897075,25.30,309546.28,200105543.78
83,2,492,2025-02-25,BUY,143302,528.08,247696.99,75922617.15
